117,4105805,Colombo,Paraná,249 277
118,3302502,Magé,Rio de Janeiro,247 741
119,4313409,Novo Hamburgo,Rio Grande do Sul,247 303
120,5218805,Rio Verde,Goiás,247 259
121,3301900,Itaboraí,Rio de Janeiro,244 416
122,3501608,Americana,São Paulo,244 370
123,3522505,Itapevi,São Paulo,244 131
124,3167202,Sete Lagoas,Minas Gerais,243 950
125,3122306,Divinópolis,Minas Gerais,242 505
126,3529005,Marília,São Paulo,242 249
127,3503208,Araraquara,São Paulo,240 542
128,4318705,São Leopoldo,Rio Grande do Sul,240 378
129,5107602,Rondonópolis,Mato Grosso,239 613
130,3519071,Hortolândia,São Paulo,237 570
131,3524402,Jacareí,São Paulo,237 119
132,2700300,Arapiraca,Alagoas,234 309
133,3300704,Cabo Frio,Rio de Janeiro,234 077
134,3541406,Presidente Prudente,São Paulo,231 953
135,2307650,Maracanaú,Ceará,230 986
136,5003702,Dourados,Mato Grosso do Sul,227 990
137,4204202,Chapecó,Santa Catarina,227 587
138,4208203,Itajaí,Santa Catarina,226 617
139,5200258,Águas Lindas de Goiás,Goiás,222 850
140,3157807,Santa Luzia,Minas Gerais,221 705
141,2918407,Juazeiro,Bahia,219 544
142,4204608,Criciúma,Santa Catarina,219 393
143,1505536,Parauapebas,Pará,218 787
144,5212501,Luziânia,Goiás,214 645
145,2914802,Itabuna,Bahia,214 123
146,4315602,Rio Grande,Rio Grande do Sul,212 881
147,2312908,Sobral,Ceará,212 437
148,4300604,Alvorada,Rio Grande do Sul,212 352
149,3201209,Cachoeiro de Itapemirim,Espírito Santo,212 172
150,2602902,Cabo de Santo Agostinho,Pernambuco,210 796
151,3300100,Angra dos Reis,Rio de Janeiro,210 171
152,3543907,Rio Claro,São Paulo,209 548
153,4314100,Passo Fundo,Rio Grande do Sul,206 103
154,1502400,Castanhal,Pará,205 667
155,2919207,Lauro de Freitas,Bahia,204 669
156,3502804,Araçatuba,São Paulo,199 210
157,3515707,Ferraz de Vasconcelos,São Paulo,198 661
158,3545803,Santa Bárbara d'Oeste,São Paulo,195 278
159,3303401,Nova Friburgo,Rio de Janeiro,191 664
